M,m,alpha,delta,log_delta
3,170,0.8500000000000003,0.03113004932911851,1.5068201911277324
3,170,0.9000000000000004,0.023920977347197468,1.6212210802093974
3,170,0.9500000000000004,0.010168907998979345,1.9927256818344392
3,170,1.0000000000000004,0.006349667971966922,2.1972489836391484
3,190,0.5,0.0006607663027419129,3.1799521129431167
3,190,0.55,0.14646057600831883,0.8342792621782578
3,190,0.6000000000000001,0.014139075617686068,1.8495789828489446
3,190,0.6500000000000001,0.0009995517438475918,3.0001947188186855
3,190,0.7000000000000002,0.05868217612282708,1.2314937895013476
3,190,0.7500000000000002,0.04821159909535926,1.3168484634812512
3,190,0.8000000000000003,0.04857341343257283,1.3136013759825655
3,190,0.8500000000000003,0.005955428236181406,2.2250870043031625
3,190,0.9000000000000004,0.011010914722486219,1.9581766008804913
3,190,0.9500000000000004,0.017383408417803954,1.7598650660970452
3,190,1.0000000000000004,0.011541236770319,1.9377476492613441
3,210,0.5,0.0003097376776562977,3.50900596221525
3,210,0.55,0.013736741603662226,1.86211627101515
3,210,0.6000000000000001,0.006392685355615452,2.194316670770702
3,210,0.6500000000000001,0.11776727651302653,0.9289753683273604
3,210,0.7000000000000002,0.008044797682571313,2.094484873435395
3,210,0.7500000000000002,0.009647378014228663,2.0155907041359176
3,210,0.8000000000000003,0.04281781380807133,1.3683755106830828
3,210,0.8500000000000003,0.008721090390790316,2.0594292121891886
3,210,0.9000000000000004,0.0072352779986187225,2.1405447774756126
3,210,0.9500000000000004,0.004165324673579015,2.3803511410883478
3,210,1.0000000000000004,0.02645048122239194,1.577566422293134
3,230,0.5,0.00028881852485341636,3.5393749545109863
3,230,0.55,0.05491134493238514,1.2603379190740822
3,230,0.6000000000000001,0.0007762616916753955,3.1099918456342106
3,230,0.6500000000000001,0.2657919309615911,0.5754582077125039
3,230,0.7000000000000002,0.05275143728992239,1.277765702881864
3,230,0.7500000000000002,0.013337954919084785,1.8749107547855473
3,230,0.8000000000000003,0.024707392942545713,1.6071730777626014
3,230,0.8500000000000003,0.01389988214372068,1.8569888820875424
3,230,0.9000000000000004,0.018531950481375653,1.7320788689315436
3,230,0.9500000000000004,0.022991150822106003,1.6384392895753732
3,230,1.0000000000000004,0.010105261372048124,1.9954524489997199
3,250,0.5,6.542983161390644e-05,4.184224197373124
